Gene	Control	Grave_I	Grave_II	SIZE	Group
gene_id_68684	15.41629032	18.91515625	14.34752778	1	#B0E0E6
gene_id_68687	6.796814516	8.33850625	2.988716667	1	#B0E0E6
gene_id_130795	10.59545161	11.706875	6.585183333	1	#B0E0E6
gene_id_47212	7.906322581	6.36171875	5.478713889	1	#B0E0E6
gene_id_117002	2.651179032	4.629526563	17.62769167	1	#B0E0E6
gene_id_45736	12.47184194	10.07875	5.863861111	1	#B0E0E6
gene_id_57026	16.9155	15.87221563	8.538980556	1	#B0E0E6
gene_id_57025	17.16632258	15.70593906	7.885952778	1	#B0E0E6
gene_id_57021	10.11363226	9.01199375	5.195916667	1	#B0E0E6
gene_id_57029	18.26936452	16.54309375	9.763775	1	#B0E0E6
gene_id_90151	6.926201613	8.239248438	18.67480556	1	#B0E0E6
gene_id_81674	9.778967742	8.153285938	5.993013889	1	#B0E0E6
gene_id_81677	9.484690323	8.2673	0.365713889	1	#B0E0E6
gene_id_114240	27.84432258	16.61917813	19.19822222	1	#B0E0E6
gene_id_102465	4.573548387	8.1463625	17.79489444	1	#B0E0E6
gene_id_87635	4.527054839	5.926873438	15.47025	1	#B0E0E6
gene_id_55074	8.958301613	6.811	4.426488889	1	#B0E0E6
gene_id_55070	11.54634677	11.50878281	7.137605556	1	#B0E0E6
gene_id_2101	9.406467742	7.97759375	9.965444444	1	#B0E0E6
gene_id_58343	7.292145161	7.431553125	4.128341667	1	#B0E0E6
gene_id_82717	10.83783871	9.475484375	1.535355556	1	#B0E0E6
gene_id_82716	9.366016129	7.867546875	1.045691667	1	#B0E0E6
gene_id_82711	10.76260161	8.954140625	0.647419444	1	#B0E0E6
gene_id_98585	12.15171935	9.719070313	2.656694444	1	#B0E0E6
gene_id_98584	8.448441935	6.837104688	2.312738889	1	#B0E0E6
gene_id_98581	11.89590323	9.256760938	2.97335	1	#B0E0E6
gene_id_57779	10.90283871	10.10219375	5.703483333	1	#B0E0E6
gene_id_98583	9.787904839	7.939826563	2.561161111	1	#B0E0E6
gene_id_98582	10.60668548	8.532665625	2.799188889	1	#B0E0E6
gene_id_89806	11.75531452	10.09360938	18.54577778	1	#B0E0E6
gene_id_89804	12.46695	11.37725	19.56491667	1	#B0E0E6
gene_id_89805	11.37577419	10.26470313	17.2325	1	#B0E0E6
gene_id_99236	65.22680968	54.62007031	15.11212222	1	#B0E0E6
gene_id_99237	13.71482097	11.32790625	3.232261111	1	#B0E0E6
gene_id_99230	12.49598548	10.2857125	2.792075	1	#B0E0E6
gene_id_102696	3.175098387	5.774657813	12.86722222	1	#B0E0E6
gene_id_99238	13.69641452	11.26212031	2.951375	1	#B0E0E6
gene_id_99239	13.41407742	11.40481719	3.153169444	1	#B0E0E6
gene_id_98146	25.88195806	21.82779531	6.062647222	1	#B0E0E6
gene_id_78089	73.91759677	72.86276563	57.36678611	1	#B0E0E6
gene_id_138052	20.35747742	27.67762813	39.06326389	1	#B0E0E6
gene_id_71108	7.858591935	8.105859375	5.942138889	1	#B0E0E6
gene_id_127821	19.96040323	19.57205156	8.318538889	1	#B0E0E6
gene_id_98910	12.56377419	16.54515625	14.367	1	#B0E0E6
gene_id_98911	40.30648387	54.4880625	49.31566667	1	#B0E0E6
gene_id_101182	4.314016129	6.67848125	13.52936111	1	#B0E0E6
gene_id_101185	3.876422581	6.500335938	13.90988889	1	#B0E0E6
gene_id_101184	3.743862903	5.857725	11.11547222	1	#B0E0E6
gene_id_110386	7.656414516	8.412884375	0.019833333	1	#B0E0E6
gene_id_137108	4.615454839	5.991684375	8.537308333	1	#B0E0E6
gene_id_90014	4.471240323	5.651339063	13.56688889	1	#B0E0E6
gene_id_56436	8.724866129	6.104804688	5.409825	1	#B0E0E6
gene_id_56438	11.51406452	9.6061875	6.198777778	1	#B0E0E6
gene_id_56233	9.950382258	9.01559375	6.286877778	1	#B0E0E6
gene_id_98706	19.6607871	16.12543438	4.662833333	1	#B0E0E6
gene_id_24002	13.42400806	17.7475	15.34055556	1	#B0E0E6
gene_id_98705	22.24703387	18.33249531	5.072655556	1	#B0E0E6
gene_id_82265	10.64112581	8.8811875	0.764752778	1	#B0E0E6
gene_id_82263	10.85619355	9.389484375	2.229230556	1	#B0E0E6
gene_id_82260	27.12804516	24.02609375	8.21715	1	#B0E0E6
gene_id_98704	26.50388226	21.58589688	6.157041667	1	#B0E0E6
gene_id_98702	12.73601613	10.32255156	3.011483333	1	#B0E0E6
gene_id_57181	8.009693548	7.27234375	3.786288889	1	#B0E0E6
gene_id_57184	14.04166129	12.59520469	7.311272222	1	#B0E0E6
